"Genotype"	"Background"	"Background.simple"	"Treatment"	"Treatment.V"	"Chamber.ID"	"Chamber.Irradiance"	"Vernalization"	"Daylength"	"Temperature"	"Fluctuation"	"Survival.Bolt"	"Bolt"	"Days.to.Bolt"	"Days.to.Flower"	"Rosette.leaf.num"	"Cauline.leaf.num"	"Notes"
"133"	"co"	"Col"	"Col"	"22VarLD"	"22VarLDNV"	"7T"	"Low"	"NV"	16	22	"Var"	"Y"	"Y"	32	39	23	5	NA
"134"	"co"	"Col"	"Col"	"22VarSD"	"22VarSDNV"	"3T"	"High"	"NV"	8	22	"Var"	"Y"	"Y"	41	49	23	5	NA
"135"	"co"	"Col"	"Col"	"22VarSD"	"22VarSDNV"	"3T"	"High"	"NV"	8	22	"Var"	"Y"	"Y"	39	44	23	2	NA
"136"	"co"	"Col"	"Col"	"22VarSD"	"22VarSDNV"	"3T"	"High"	"NV"	8	22	"Var"	"Y"	"Y"	43	51	28	7	NA
"137"	"co"	"Col"	"Col"	"22VarSD"	"22VarSDNV"	"3T"	"High"	"NV"	8	22	"Var"	"Y"	"Y"	45	54	30	7	NA
"138"	"co"	"Col"	"Col"	"22VarSD"	"22VarSDNV"	"6B"	"Low"	"NV"	8	22	"Var"	"Y"	"Y"	45	53	26	5	NA
"139"	"co"	"Col"	"Col"	"22VarSD"	"22VarSDNV"	"6B"	"Low"	"NV"	8	22	"Var"	"Y"	"Y"	45	54	30	7	NA
"140"	"co"	"Col"	"Col"	"22VarSD"	"22VarSDNV"	"6B"	"Low"	"NV"	8	22	"Var"	"Y"	"Y"	43	50	26	5	NA
"141"	"co"	"Col"	"Col"	"22VarSD"	"22VarSDNV"	"6B"	"Low"	"NV"	8	22	"Var"	"Y"	"Y"	44	52	26	7	NA
"142"	"co"	"Col"	"Col"	"12ConLD"	"12ConLDV"	"2B"	"High"	"V"	16	12	"Con"	"Y"	"Y"	32	44	23	5	NA
"143"	"co"	"Col"	"Col"	"12ConLD"	"12ConLDV"	"2B"	"High"	"V"	16	12	"Con"	"Y"	"Y"	29	43	18	4	NA
"144"	"co"	"Col"	"Col"	"12ConLD"	"12ConLDV"	"2B"	"High"	"V"	16	12	"Con"	"Y"	"Y"	30	45	20	5	NA
"145"	"co"	"Col"	"Col"	"12ConLD"	"12ConLDV"	"2B"	"High"	"V"	16	12	"Con"	"Y"	"Y"	29	43	19	3	NA
"146"	"co"	"Col"	"Col"	"12ConLD"	"12ConLDV"	"5B"	"Low"	"V"	16	12	"Con"	"Y"	"Y"	36	50	23	8	NA
"147"	"co"	"Col"	"Col"	"12ConLD"	"12ConLDV"	"5B"	"Low"	"V"	16	12	"Con"	"Y"	"Y"	34	47	22	3	NA
"148"	"co"	"Col"	"Col"	"12ConLD"	"12ConLDV"	"5B"	"Low"	"V"	16	12	"Con"	"Y"	"Y"	33	44	22	1	NA
"149"	"co"	"Col"	"Col"	"12ConLD"	"12ConLDV"	"5B"	"Low"	"V"	16	12	"Con"	"Y"	"Y"	30	45	19	5	NA
"150"	"co"	"Col"	"Col"	"12ConSD"	"12ConSDV"	"4T"	"High"	"V"	8	12	"Con"	"Y"	"Y"	47	64	25	4	NA
"151"	"co"	"Col"	"Col"	"12ConSD"	"12ConSDV"	"4T"	"High"	"V"	8	12	"Con"	"Y"	"Y"	45	61	33	4	NA
"152"	"co"	"Col"	"Col"	"12ConSD"	"12ConSDV"	"4T"	"High"	"V"	8	12	"Con"	"Y"	"Y"	44	60	35	7	NA
"153"	"co"	"Col"	"Col"	"12ConSD"	"12ConSDV"	"4T"	"High"	"V"	8	12	"Con"	"Y"	"Y"	48	62	26	2	NA
"154"	"co"	"Col"	"Col"	"12ConSD"	"12ConSDV"	"5T"	"Low"	"V"	8	12	"Con"	"Y"	"Y"	46	62	29	4	NA
"155"	"co"	"Col"	"Col"	"12ConSD"	"12ConSDV"	"5T"	"Low"	"V"	8	12	"Con"	"Y"	"Y"	47	64	30	3	NA
"156"	"co"	"Col"	"Col"	"12ConSD"	"12ConSDV"	"5T"	"Low"	"V"	8	12	"Con"	"Y"	"Y"	48	66	32	3	NA
"157"	"co"	"Col"	"Col"	"12ConSD"	"12ConSDV"	"5T"	"Low"	"V"	8	12	"Con"	"Y"	"Y"	45	62	29	3	NA
