"Genotype"	"Background"	"Background.simple"	"Treatment"	"Treatment.V"	"Chamber.ID"	"Chamber.Irradiance"	"Vernalization"	"Daylength"	"Temperature"	"Fluctuation"	"Survival.Bolt"	"Bolt"	"Days.to.Bolt"	"Days.to.Flower"	"Rosette.leaf.num"	"Cauline.leaf.num"	"Blade.length.mm"	"Total.leaf.length.mm"	"Blade.ratio"	"Notes"
"101"	"co-2"	"Ler"	"Ler"	"22ConLD"	"22ConLDNV"	"2B"	"High"	"NV"	16	22	"Con"	"Y"	"Y"	29	36	16	6	18.4	23.2	0.793103448	""
"102"	"co-2"	"Ler"	"Ler"	"22ConLD"	"22ConLDNV"	"5B"	"Low"	"NV"	16	22	"Con"	"Y"	"Y"	29	38	16	7	NA	NA	NA	""
"103"	"co-2"	"Ler"	"Ler"	"22ConLD"	"22ConLDNV"	"5B"	"Low"	"NV"	16	22	"Con"	"Y"	"Y"	31	38	16	4	NA	NA	NA	""
"104"	"co-2"	"Ler"	"Ler"	"22ConLD"	"22ConLDNV"	"5B"	"Low"	"NV"	16	22	"Con"	"Y"	"Y"	32	39	17	6	NA	NA	NA	""
"105"	"co-2"	"Ler"	"Ler"	"22ConLD"	"22ConLDNV"	"5B"	"Low"	"NV"	16	22	"Con"	"Y"	"Y"	33	41	17	5	NA	NA	NA	""
"106"	"co-2"	"Ler"	"Ler"	"22ConSD"	"22ConSDNV"	"4T"	"High"	"NV"	8	22	"Con"	"Y"	"Y"	45	53	21	5	NA	NA	NA	""
"107"	"co-2"	"Ler"	"Ler"	"22ConSD"	"22ConSDNV"	"4T"	"High"	"NV"	8	22	"Con"	"Y"	"Y"	46	54	22	5	NA	NA	NA	""
"108"	"co-2"	"Ler"	"Ler"	"22ConSD"	"22ConSDNV"	"4T"	"High"	"NV"	8	22	"Con"	"Y"	"Y"	48	58	26	9	NA	NA	NA	""
"109"	"co-2"	"Ler"	"Ler"	"22ConSD"	"22ConSDNV"	"4T"	"High"	"NV"	8	22	"Con"	"Y"	"Y"	48	57	23	8	NA	NA	NA	""
"110"	"co-2"	"Ler"	"Ler"	"22ConSD"	"22ConSDNV"	"2T"	"High"	"NV"	8	22	"Con"	"Y"	"Y"	49	58	19	6	NA	NA	NA	""
"111"	"co-2"	"Ler"	"Ler"	"22ConSD"	"22ConSDNV"	"2T"	"High"	"NV"	8	22	"Con"	"Y"	"Y"	49	59	21	8	NA	NA	NA	""
"112"	"co-2"	"Ler"	"Ler"	"22ConSD"	"22ConSDNV"	"2T"	"High"	"NV"	8	22	"Con"	"Y"	"Y"	52	61	22	9	NA	NA	NA	""
"113"	"co-2"	"Ler"	"Ler"	"22ConSD"	"22ConSDNV"	"6T"	"Low"	"NV"	8	22	"Con"	"Y"	"Y"	54	66	29	10	30.2	39.7	0.76070529	""
